FID IID
28 28
50 50
52 52
53 53
67 67
96 96
205 205
298 298
310 310
351 351
404 404
418 418
423 423
428 428
442 442
444 444
548 548
772 772
810 810
835 835
850 850
853 853
910 910
939 939
966 966
968 968
1003 1003
1006 1006
1045 1045
1058 1058
1154 1154
1236 1236
1294 1294
1395 1395
1537 1537
1554 1554
1587 1587
1694 1694
1789 1789
1832 1832
1854 1854
1866 1866
1904 1904
1920 1920
1951 1951
1952 1952
1953 1953
1954 1954
1955 1955
1976 1976
1977 1977
1978 1978
1979 1979
1980 1980
1981 1981
1982 1982
1984 1984
1985 1985
1986 1986
1987 1987
1988 1988
1989 1989
1990 1990
1993 1993
1994 1994
1995 1995
2000 2000
